donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.024,FWM,H14.09.024.PCx.01_FWM,RS5-501092,ar_496100380,H501-1092,H14.09.024.PCx.01
H14.09.024,PCx,H14.09.024.PCx.01_PCx,RS5-501093,ar_496100373,H501-1093,H14.09.024.PCx.01
H14.09.024,TCx,H14.09.024.TCx.01_TCx,RS5-501094,ar_496100361,H501-1094,H14.09.024.TCx.01
H14.09.025,HIP,H14.09.025.HIP.01_HIP,RS5-501095,ar_496100365,H501-1095,H14.09.025.HIP.01
H14.09.025,TCx,H14.09.025.TCx.01_TCx,RS5-501096,ar_496100356,H501-1096,H14.09.025.TCx.01
H14.09.026,HIP,H14.09.026.HIP.01_HIP,RS5-501097,ar_496100372,H501-1097,H14.09.026.HIP.01
H14.09.026,FWM,H14.09.026.PCx.01_FWM,RS5-501098,ar_496100375,H501-1098,H14.09.026.PCx.01
H14.09.026,PCx,H14.09.026.PCx.01_PCx,RS5-501099,ar_496100354,H501-1099,H14.09.026.PCx.01
H14.09.026,TCx,H14.09.026.TCx.01_TCx,RS5-501100,ar_496100385,H501-1100,H14.09.026.TCx.01
H14.09.027,HIP,H14.09.027.HIP.03_HIP,RS5-501101,ar_496100384,H501-1101,H14.09.027.HIP.03
H14.09.028,HIP,H14.09.028.HIP.01_HIP,RS5-501102,ar_496100355,H501-1102,H14.09.028.HIP.01
H14.09.028,FWM,H14.09.028.PCx.01_FWM,RS5-501103,ar_496100362,H501-1103,H14.09.028.PCx.01
H14.09.028,PCx,H14.09.028.PCx.01_PCx,RS5-501104,ar_496100359,H501-1104,H14.09.028.PCx.01
H14.09.028,TCx,H14.09.028.TCx.03_TCx,RS5-501105,ar_496100366,H501-1105,H14.09.028.TCx.03
H14.09.029,HIP,H14.09.029.HIP.03_HIP,RS5-501106,ar_496100374,H501-1106,H14.09.029.HIP.03
H14.09.029,TCx,H14.09.029.TCx.03_TCx,RS5-501107,ar_496100364,H501-1107,H14.09.029.TCx.03
H14.09.030,HIP,H14.09.030.HIP.01_HIP,RS5-501108,ar_496100381,H501-1108,H14.09.030.HIP.01
H14.09.030,FWM,H14.09.030.PCx.01_FWM,RS5-501109,ar_496100352,H501-1109,H14.09.030.PCx.01
H14.09.030,PCx,H14.09.030.PCx.01_PCx,RS5-501110,ar_496100386,H501-1110,H14.09.030.PCx.01
H14.09.030,TCx,H14.09.030.TCx.01_TCx,RS5-501111,ar_488395315,H501-1111,H14.09.030.TCx.01
H14.09.031,HIP,H14.09.031.HIP.01_HIP,RS5-501112,ar_496100392,H501-1112,H14.09.031.HIP.01
H14.09.031,FWM,H14.09.031.PCx.01_FWM,RS5-501113,ar_496100416,H501-1113,H14.09.031.PCx.01
H14.09.031,PCx,H14.09.031.PCx.01_PCx,RS5-501114,ar_496100400,H501-1114,H14.09.031.PCx.01
H14.09.031,TCx,H14.09.031.TCx.01_TCx,RS5-501115,ar_496100422,H501-1115,H14.09.031.TCx.01
H14.09.032,HIP,H14.09.032.HIP.01_HIP,RS5-501116,ar_496100393,H501-1116,H14.09.032.HIP.01
H14.09.032,FWM,H14.09.032.PCx.01_FWM,RS5-501117,ar_496100402,H501-1117,H14.09.032.PCx.01
H14.09.032,PCx,H14.09.032.PCx.01_PCx,RS5-501118,ar_496100397,H501-1118,H14.09.032.PCx.01
